date,county,type,num,id
4/16/20,"Santa Clara County, California",death,69,456
4/16/20,"Santa Cruz County, California",death,2,457
4/16/20,"Shasta County, California",death,3,458
4/16/20,"Sierra County, California",death,0,459
4/16/20,"Siskiyou County, California",death,0,460
4/16/20,"Solano County, California",death,2,461
4/16/20,"Sonoma County, California",death,2,462
4/16/20,"Stanislaus County, California",death,4,463
4/16/20,"Sutter County, California",death,2,464
4/16/20,"Tehama County, California",death,1,465
4/16/20,"Trinity County, California",death,0,466
4/16/20,"Tulare County, California",death,17,467
4/16/20,"Tuolumne County, California",death,0,468
4/16/20,"Ventura County, California",death,13,469
4/16/20,"Yolo County, California",death,7,470
4/16/20,"Yuba County, California",death,1,471
4/16/20,Unknown,death,0,472
4/17/20,"Alameda County, California",positive,1043,473
4/17/20,"Alpine County, California",positive,1,474
4/17/20,"Amador County, California",positive,7,475
4/17/20,"Butte County, California",positive,15,476
4/17/20,"Calaveras County, California",positive,11,477
4/17/20,"Colusa County, California",positive,3,478
4/17/20,"Contra Costa County, California",positive,687,479
4/17/20,"Del Norte County, California",positive,2,480
4/17/20,"El Dorado County, California",positive,35,481
4/17/20,"Fresno County, California",positive,315,482
4/17/20,"Glenn County, California",positive,4,483
4/17/20,"Humboldt County, California",positive,52,484
4/17/20,"Imperial County, California",positive,135,485
4/17/20,"Inyo County, California",positive,18,486
4/17/20,"Kern County, California",positive,612,487
4/17/20,"Kings County, California",positive,20,488
4/17/20,"Lake County, California",positive,6,489
4/17/20,"Lassen County, California",positive,0,490
4/17/20,"Los Angeles County, California",positive,11354,491
4/17/20,"Madera County, California",positive,34,492
4/17/20,"Marin County, California",positive,189,493
4/17/20,"Mariposa County, California",positive,0,494
4/17/20,"Mendocino County, California",positive,4,495
4/17/20,"Merced County, California",positive,82,496
4/17/20,"Modoc County, California",positive,0,497
4/17/20,"Mono County, California",positive,23,498
4/17/20,"Monterey County, California",positive,119,499
4/17/20,"Napa County, California",positive,46,500
4/17/20,"Nevada County, California",positive,34,501
4/17/20,"Orange County, California",positive,1501,502
4/17/20,"Placer County, California",positive,130,503
4/17/20,"Plumas County, California",positive,4,504
4/17/20,"Riverside County, California",positive,2457,505
4/17/20,"Sacramento County, California",positive,882,506
4/17/20,"San Benito County, California",positive,38,507
4/17/20,"San Bernardino County, California",positive,1096,508
4/17/20,"San Diego County, California",positive,2160,509
4/17/20,"San Francisco County, California",positive,1090,510
4/17/20,"San Joaquin County, California",positive,356,511
4/17/20,"San Luis Obispo County, California",positive,127,512
4/17/20,"San Mateo County, California",positive,768,513
4/17/20,"Santa Barbara County, California",positive,349,514
4/17/20,"Santa Clara County, California",positive,1834,515
4/17/20,"Santa Cruz County, California",positive,98,516
4/17/20,"Shasta County, California",positive,26,517
4/17/20,"Sierra County, California",positive,0,518
4/17/20,"Siskiyou County, California",positive,5,519
4/17/20,"Solano County, California",positive,173,520
4/17/20,"Sonoma County, California",positive,167,521
4/17/20,"Stanislaus County, California",positive,201,522
4/17/20,"Sutter County, California",positive,24,523
4/17/20,"Tehama County, California",positive,1,524
4/17/20,"Trinity County, California",positive,0,525
4/17/20,"Tulare County, California",positive,370,526
4/17/20,"Tuolumne County, California",positive,2,527
4/17/20,"Ventura County, California",positive,398,528
4/17/20,"Yolo County, California",positive,117,529
4/17/20,"Yuba County, California",positive,15,530
4/17/20,Unknown,positive,2,531
4/17/20,"Alameda County, California",death,44,532
4/17/20,"Alpine County, California",death,0,533
4/17/20,"Amador County, California",death,0,534
4/17/20,"Butte County, California",death,0,535
4/17/20,"Calaveras County, California",death,0,536
4/17/20,"Colusa County, California",death,0,537
4/17/20,"Contra Costa County, California",death,19,538
4/17/20,"Del Norte County, California",death,0,539
4/17/20,"El Dorado County, California",death,0,540
4/17/20,"Fresno County, California",death,7,541
4/17/20,"Glenn County, California",death,0,542
4/17/20,"Humboldt County, California",death,0,543
4/17/20,"Imperial County, California",death,3,544
4/17/20,"Inyo County, California",death,0,545
4/17/20,"Kern County, California",death,3,546
4/17/20,"Kings County, California",death,1,547
4/17/20,"Lake County, California",death,0,548
4/17/20,"Lassen County, California",death,0,549
4/17/20,"Los Angeles County, California",death,495,550
4/17/20,"Madera County, California",death,2,551
4/17/20,"Marin County, California",death,10,552
4/17/20,"Mariposa County, California",death,0,553
4/17/20,"Mendocino County, California",death,0,554
4/17/20,"Merced County, California",death,3,555
4/17/20,"Modoc County, California",death,0,556
4/17/20,"Mono County, California",death,1,557
4/17/20,"Monterey County, California",death,3,558
4/17/20,"Napa County, California",death,2,559
4/17/20,"Nevada County, California",death,1,560
4/17/20,"Orange County, California",death,28,561
4/17/20,"Placer County, California",death,8,562
4/17/20,"Plumas County, California",death,0,563
4/17/20,"Riverside County, California",death,69,564
4/17/20,"Sacramento County, California",death,32,565
4/17/20,"San Benito County, California",death,2,566
4/17/20,"San Bernardino County, California",death,55,567
4/17/20,"San Diego County, California",death,70,568
4/17/20,"San Francisco County, California",death,20,569
4/17/20,"San Joaquin County, California",death,17,570
4/17/20,"San Luis Obispo County, California",death,1,571
4/17/20,"San Mateo County, California",death,28,572
4/17/20,"Santa Barbara County, California",death,3,573
4/17/20,"Santa Clara County, California",death,73,574
4/17/20,"Santa Cruz County, California",death,2,575
4/17/20,"Shasta County, California",death,3,576
4/17/20,"Sierra County, California",death,0,577
4/17/20,"Siskiyou County, California",death,0,578
4/17/20,"Solano County, California",death,2,579
4/17/20,"Sonoma County, California",death,2,580
4/17/20,"Stanislaus County, California",death,4,581
4/17/20,"Sutter County, California",death,2,582
4/17/20,"Tehama County, California",death,1,583
4/17/20,"Trinity County, California",death,0,584
4/17/20,"Tulare County, California",death,17,585
4/17/20,"Tuolumne County, California",death,0,586
4/17/20,"Ventura County, California",death,13,587
4/17/20,"Yolo County, California",death,8,588
4/17/20,"Yuba County, California",death,1,589
4/17/20,Unknown,death,0,590
4/18/20,"Alameda County, California",positive,1114,591
4/18/20,"Alpine County, California",positive,1,592
4/18/20,"Amador County, California",positive,7,593
4/18/20,"Butte County, California",positive,16,594
4/18/20,"Calaveras County, California",positive,12,595
4/18/20,"Colusa County, California",positive,3,596
4/18/20,"Contra Costa County, California",positive,685,597
4/18/20,"Del Norte County, California",positive,2,598
4/18/20,"El Dorado County, California",positive,36,599
4/18/20,"Fresno County, California",positive,315,600
4/18/20,"Glenn County, California",positive,4,601
4/18/20,"Humboldt County, California",positive,52,602
4/18/20,"Imperial County, California",positive,155,603
4/18/20,"Inyo County, California",positive,18,604
4/18/20,"Kern County, California",positive,610,605
4/18/20,"Kings County, California",positive,28,606
4/18/20,"Lake County, California",positive,6,607
4/18/20,"Lassen County, California",positive,0,608
4/18/20,"Los Angeles County, California",positive,12051,609
4/18/20,"Madera County, California",positive,34,610
4/18/20,"Marin County, California",positive,189,611
4/18/20,"Mariposa County, California",positive,0,612
4/18/20,"Mendocino County, California",positive,5,613
4/18/20,"Merced County, California",positive,87,614
4/18/20,"Modoc County, California",positive,0,615
4/18/20,"Mono County, California",positive,23,616
4/18/20,"Monterey County, California",positive,136,617
4/18/20,"Napa County, California",positive,47,618
4/18/20,"Nevada County, California",positive,36,619
4/18/20,"Orange County, California",positive,1556,620
4/18/20,"Placer County, California",positive,131,621
4/18/20,"Plumas County, California",positive,4,622
4/18/20,"Riverside County, California",positive,2602,623
4/18/20,"Sacramento County, California",positive,914,624
4/18/20,"San Benito County, California",positive,44,625
4/18/20,"San Bernardino County, California",positive,1215,626
4/18/20,"San Diego County, California",positive,2213,627
4/18/20,"San Francisco County, California",positive,1137,628
4/18/20,"San Joaquin County, California",positive,410,629
4/18/20,"San Luis Obispo County, California",positive,131,630
4/18/20,"San Mateo County, California",positive,838,631
4/18/20,"Santa Barbara County, California",positive,385,632
4/18/20,"Santa Clara County, California",positive,1870,633
4/18/20,"Santa Cruz County, California",positive,101,634
4/18/20,"Shasta County, California",positive,26,635
